Issue key,Issue id,Summary,Labels,Labels,Component/s,Component/s,Component/s,Component/s,Component/s
CBL-4953,219568,Database subscript function to get DocumentFragment is deprecated,deprecated,,.NET,,,,
CBL-4324,208674,Replace database oriented Factory methods with collection oriented equvalents,deprecated,,Kotlin-Android,,,,
CBL-4320,208594,UWP deprecated and Xamarin iOS deprecated,deprecated,,.NET,,,,
CBL-4316,208568,Replicator's getPendingDocumentIds() and isDocumentPending(String id) are deprecated,deprecated,,.NET,C,iOS,Java,Java-Android
CBL-4315,208567,ReplicatorConfiguration's filters and conflict resolver properties are deprecated ,deprecated,,.NET,C,iOS,Java,Java-Android
CBL-4314,208564,ReplicatorConfiguration APIs with Database object are deprecated,deprecated,,.NET,C,iOS,Java,Java-Android
CBL-4313,208563,MessageEndpointListenerConfiguration APIs using Database object are deprecated,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4312,208562,URLEndpointListenerConfiguration APIs using Database object are deprecated,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4311,208560,QueryBuilder : isNullOrMissing() and notNullOrMissing() are deprecated ,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4310,208512,"QueryBuilder : FullTextFunction's rank(String index) and match(String index, String query) are deprecated",deprecated,,.NET,iOS,Java,Java-Android,
CBL-4309,208511,QueryBuilder : DataSource's database() is deprecated,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4307,208509,DocumentChange's database property is deprecated,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4306,208508,DatabaseChange and DatabaseChangeListener are deprecated,deprecated,,.NET,C,iOS,Java,Java-Android
CBL-4305,208507,Database's removeChangeListener() is deprecated,deprecated,,.NET,iOS,Java,Java-Android,
CBL-4304,208506,Database's Document APIs are deprecated,deprecated,,.NET,C,iOS,Java,Java-Android
CBL-4267,207845,Support Scopes and Collections in Kotlin Extensions,deprecated,,Kotlin-Android,,,,
CBL-4266,207844,Kotlin Configuration Factories to support IndexExpression,deprecated,,Kotlin-Android,,,,
CBL-4265,207840,Standard naming for Kotlin ConfigurationFactories,deprecated,,Kotlin-Android,,,,
CBL-4264,207839,Increased security: store BasicAuthenticator password as a char[] and zero before release,deprecated,,Java,Java-Android,,,
CBL-4263,207838,The public type ReplicatorConfiguration.ReplicatorType is not visible from Kotlin,deprecated,,Java-Android,Kotlin-Android,,,
CBL-4262,207836,ReplicatorConfiguration.setPinnedServerCertificate should take a Certificate,deprecated,,Java,Java-Android,,,
CBL-3963,202832,Remove Deprecated ReplicatorConfiguration.ReplicatorType,blocked,deprecated,Java,Java-Android,,,
CBL-1727,153707,Improved naming for AbstractReplicatorConfiguration.ReplicatorType,deprecated,,Java,Java-Android,,,
