Issue key,Issue id,Summary,Labels,Component/s,Component/s,Component/s
CBL-4922,218673,Lithium:  Failure in OkHttp authenticator,,Java,Java-Android,Kotlin-Android
CBL-4921,218671,Lithium: Lower the max size on the ClientTask thread pool to 8,,Java,Java-Android,
CBL-4839,217528,Attachments/Blobs got deleted after compaction&re-sync,,LiteCore,,
CBL-4799,216748,Lithium: Database.exists should support the default directory,backport,Java,Java-Android,
CBL-4139,205642,Lithium build error on Linux,,LiteCore,,
CBL-4125,205409,"Port Replicator test helpers, SG, SGTestUser, ReplParams to Lithium",,LiteCore,,
CBL-4111,204912,Allow docs failed with property encryption / decryption to be retried,,C,,
CBL-3879,201438,Failed test - testDoubleConflictResolutionOnSameConflicts,,iOS,,
CBL-3878,201427,testStopContinuousReplicator inconsistent failure,,iOS,,
CBL-3877,201411,testDeleteWithActiveReplicatorAndURLEndpointListeners failure,,iOS,,
CBL-3871,201238,QueryParams fails to decode bool,,LiteCore,,
